OrderID,BatchNumber,CompoundName,MixerLine,material_system,phase_route,system_route_branch,shadow_cohort,safe_bounds_match_level,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,has_drymix_stage,has_wetmix_stage,has_pid_stage,has_bottom_stage,has_oilloading_stage,actual_current_kwh_per_batch,mode_b_predicted_current_kwh_per_batch,mode_b_predicted_recommended_kwh_per_batch,shadow_actual_saving_kwh,shadow_actual_saving_pct,model_based_saving_kwh,model_based_saving_pct,current_kwh_per_batch,recommended_kwh_per_batch,saving_kwh,saving_pct,current_mooney_pred,recommended_mooney_pred,recommended_mooney_low,recommended_mooney_high,mooney_spec_low,mooney_spec_high,confidence_label,ood_flag,valid_candidate_count,safe_bound_status,route_stage_status,recommendation_status,rejection_reason,current_DryMixing_Duration,recommended_DryMixing_Duration,delta_DryMixing_Duration,current_WetMixing_Duration,recommended_WetMixing_Duration,delta_WetMixing_Duration,current_PID_Duration,recommended_PID_Duration,delta_PID_Duration,current_BottomMixing_Duration,recommended_BottomMixing_Duration,delta_BottomMixing_Duration
1788106,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.84,27.35,25.08,3.76,13.04,2.27,8.3,28.84,25.08,3.76,13.04,42.28,42.22,40.46,43.99,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,44.0,45.0,1.0,9.0,10.0,1.0,0.0,0.0,0.0,53.0,31.0,-22.0
1788106,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.994,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.13,27.32,25.08,3.05,10.84,2.24,8.2,28.13,25.08,3.05,10.84,42.42,42.42,40.66,44.18,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,45.0,45.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,53.0,31.0,-22.0
1788106,3,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.995,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,27.85,27.28,25.08,2.77,9.95,2.2,8.06,27.85,25.08,2.77,9.95,42.22,42.22,40.45,43.98,39.98666666666667,46.98666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,45.0,45.0,0.0,5.0,10.0,5.0,0.0,0.0,0.0,52.0,31.0,-21.0
1782695,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,1.0,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,29.96,27.51,25.08,4.88,16.29,2.43,8.83,29.96,25.08,4.88,16.29,41.5,41.54,39.77,43.3,38.07666666666667,45.07666666666667,HIGH,False,19,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,INSUFFICIENT_VALID_CANDIDATES_COUNT,45.0,45.0,0.0,12.0,10.0,-2.0,0.0,0.0,0.0,53.0,31.0,-22.0
1782695,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,1.0,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,28.68,27.47,25.08,3.6,12.55,2.39,8.7,28.68,25.08,3.6,12.55,41.43,41.49,39.73,43.26,38.07666666666667,45.07666666666667,HIGH,False,19,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,INSUFFICIENT_VALID_CANDIDATES_COUNT,45.0,45.0,0.0,13.0,10.0,-3.0,0.0,0.0,0.0,52.0,31.0,-21.0
1782695,3,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L3_SHADOW_REVIEW_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.999,VALIDATED_SHADOW_REVIEW,SHADOW_REVIEW_READY,True,True,False,True,True,28.04,27.36,25.08,2.96,10.56,2.28,8.33,28.04,25.08,2.96,10.56,41.58,41.58,39.82,43.35,38.07666666666667,45.07666666666667,HIGH,False,19,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,INSUFFICIENT_VALID_CANDIDATES_COUNT,45.0,45.0,0.0,11.0,10.0,-1.0,0.0,0.0,0.0,51.0,31.0,-20.0
1786097,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.68,27.51,25.08,3.6,12.55,2.43,8.83,28.68,25.08,3.6,12.55,41.48,41.52,39.75,43.28,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,45.0,45.0,0.0,12.0,10.0,-2.0,0.0,0.0,0.0,54.0,31.0,-23.0
1786097,2,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458B1-- 02 002;M1-B00458---- 12 005;M1-B00458XM-- 04 002;M1-B00458---- 12 007,0.999,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.06,27.47,25.08,2.98,10.62,2.39,8.7,28.06,25.08,2.98,10.62,41.77,41.77,40.01,43.54,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,45.0,45.0,0.0,11.0,10.0,-1.0,0.0,0.0,0.0,52.0,31.0,-21.0
1786097,4,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 002;M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.998,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.14,27.47,25.08,3.06,10.87,2.39,8.7,28.14,25.08,3.06,10.87,41.15,41.21,39.44,42.97,38.45666666666667,45.45666666666667,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,45.0,45.0,0.0,13.0,10.0,-3.0,0.0,0.0,0.0,52.0,31.0,-21.0
1780454,1,M1-B00458---- 12 004,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,PRIORITY_OPERATIONAL_HISTORY,EXACT_RECIPE_MIXER_ROUTE,L4_PILOT_READY,1175,5,M1-B00458B1-- 02 001;M1-B00458---- 12 005;M1-B00458B1-- 02 002;M1-B00458---- 12 007;M1-B00458XM-- 04 002,0.997,EXACT_RECIPE_MIXER_PILOT_GATE,PILOT_REVIEW_READY,True,True,False,True,True,28.71,27.47,25.08,3.63,12.64,2.39,8.7,28.71,25.08,3.63,12.64,42.31,42.31,40.55,44.07,39.23,46.23,HIGH,False,20,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,RAW_BEST_CANDIDATE,GATE_PASS_OPTIMAL,46.0,45.0,-1.0,10.0,10.0,0.0,0.0,0.0,0.0,52.0,31.0,-21.0
